model_name,source_type,run_id,total_flops,total_params,flops_per_param,array_size,precision,batch_size,clock_ghz,compute_intensity,array_utilization,latency_ms,power_w,memory_mb,throughput_ops_s,power_efficiency,memory_efficiency
densenet-9.onnx,real_benchmark,1,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,26.44929999951273,27.612517828357237,783.9221058686371,214309011130.89673,205280929.51110712,7230722.651514998
densenet-9.onnx,real_benchmark,2,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,27.742699996451847,8.929518651656846,219.18052965962696,204317652165.2525,634784868.3423053,25861436.399227254
densenet-9.onnx,real_benchmark,3,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,25.88719999766909,34.87531150262926,867.1968062136422,218962395643.80783,162531116.7743219,6536374.77366146
densenet-9.onnx,real_benchmark,4,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,27.955700003076345,29.71717559631496,1023.680860615686,202760915569.14108,190742330.39816442,5537197.720523419
densenet-9.onnx,real_benchmark,5,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,24.268499997560863,9.4175967966857,255.88539958271625,233567106684.37283,601886388.2531016,22151804.428943854
densenet-9.onnx,real_benchmark,6,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,24.114499996358063,38.08503769724667,484.0264709770255,235058712760.20938,148833339.00235194,11710771.347776022
densenet-9.onnx,real_benchmark,7,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,25.81320000172127,23.72729379091084,671.146709122347,219590106132.59982,238894640.72731316,8445729.154103968
densenet-9.onnx,real_benchmark,8,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,26.98410000448348,33.10254501029026,890.3341914628437,210061603946.7017,171235272.8325146,6366512.015699546
densenet-9.onnx,real_benchmark,9,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,27.259599999524653,23.785077079677563,483.61626333124735,207938609814.48163,238314271.8700703,11720704.528913537
densenet-9.onnx,real_benchmark,10,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,23.673800002143253,35.88118861415663,389.32655835381365,239434451904.08093,157974792.51241586,14559302.99700522
densenet-9.onnx,real_benchmark,11,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,23.04539999749977,11.479761097468264,954.1672374205224,245963330148.96527,493766662.47108746,5940597.314223691
densenet-9.onnx,real_benchmark,12,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,23.019500004011206,38.21499434475642,978.8698732700212,246240071548.56885,148327205.68737945,5790681.154591512
densenet-9.onnx,real_benchmark,13,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,23.372300005576108,38.08817951592657,389.6738922336757,242523128945.2756,148821062.03426132,14546325.634911701
densenet-9.onnx,real_benchmark,14,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,25.83470000536181,47.38041473722724,488.0133166575917,219407360132.8283,119634312.15704411,11615099.699955432
densenet-9.onnx,real_benchmark,15,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,25.39779999642633,16.852165415017407,713.0646775253672,223181666474.95364,336355784.8527436,7949241.501615199
densenet-9.onnx,real_benchmark,16,5668323328.0,7895208.0,717.9447746025174,32,32,1,1.48,179.48619365062953,1.0,23.81440000317525,21.880587231185032,286.46300593589564,238020833077.6431,259057184.59560907,19787278.67245301
