total_flops,total_params,array_size,precision_val,batch_size,clock_ghz,latency_ms,power_w,memory_mb,throughput_ops_s,data_source
56994731682.11511,51898678.84959267,16,8,1,1.925365174554242,34.14680933909926,51.67704191901157,177.02838694497294,1669108557585.0332,synthetic
50161060573.63196,142931995.64766178,12,32,2,1.0839598041533816,308.324308811782,52.90201570750846,615.3533610602552,325378564972.3325,synthetic
44860998978.27149,28918681.476098005,32,32,2,1.6088574949439547,29.04932290301191,47.742973685615425,244.85823620545398,3088608924073.765,synthetic
63790684842.85914,84956081.60183583,12,8,16,1.8530198748963576,929.3611388681538,55.338754035085046,187.89549816854924,1098228573155.9337,synthetic
34241314195.407375,92255365.67558236,32,32,4,0.8272893339605965,67.16665648087816,35.70633006561555,486.36991842152844,2039185273732.1006,synthetic
13823198773.343874,116484149.16954134,32,16,16,1.7158369690014335,41.74552668069093,16.68363924971061,322.2299242762722,5298080967219.01,synthetic
63350001885.02433,68824854.40667027,12,8,2,1.3836800752133993,159.32869938355284,54.32897198322589,190.87971672226155,795211435606.1053,synthetic
30911800742.35991,40891144.263966255,24,8,8,2.0491821871103673,56.06270702454329,30.4473999926673,130.21455406779495,4411032200614.537,synthetic
63412103585.70755,10574311.129130388,8,32,8,1.4099917552117516,3081.029748290194,64.17005784797954,216.5704359878532,164651713917.13528,synthetic
60137520062.741394,98490112.5695667,8,16,8,1.631050424127584,1779.4179888004917,66.64791736486133,319.66088115550696,270369392424.90265,synthetic
75941224645.14508,11212581.257675342,4,16,4,2.276045064032391,2423.6454061834916,83.70560024636322,216.77821759159656,125333886634.39761,synthetic
64302749915.32502,34437191.641915485,24,32,8,2.350326648891068,237.85954755367686,57.558253983156,320.37562316613906,2162713267612.3186,synthetic
58397518834.27076,13620034.156770533,8,8,8,1.964163876071773,1228.3556295247602,64.0978338978773,132.54705503904194,380329718401.5951,synthetic
41837218464.922745,55693127.801920116,16,16,1,1.6450868099718967,39.27146640317224,46.940689693093034,280.6054554012139,1065333747291.4749,synthetic
62611597609.87417,62150180.147333115,8,16,4,2.3839813993088677,588.9227615007833,62.570953664606016,299.47028544850696,425261862525.52167,synthetic
71111370679.3117,143001990.33307868,16,32,2,2.3886051481005657,153.10752055310297,82.1585355947182,647.9169527665813,928907612407.5542,synthetic
71790427041.29356,126374922.29398647,8,8,2,1.4773285939073237,357.5278848781813,61.37680918772998,237.50362234672883,401593442512.90704,synthetic
79860483708.33954,124845925.47971328,16,8,8,0.9292165963797779,558.3770401457369,69.12751133429008,318.98879031605003,1144180049917.466,synthetic
11374575410.82443,26837687.121012527,32,16,8,1.8823542684826085,14.804135493152716,15.701648858173233,160.44124724639036,6146701597582.8955,synthetic
62803948062.47152,39590764.69325067,16,16,8,1.6355004161738007,427.73585070280444,68.48540797635164,232.12734517548657,1174630519453.1545,synthetic
36075798919.35262,96154695.47078256,32,16,1,1.1718771619264468,8.91257701087009,36.5103452599879,311.91179218050786,4047740499224.1104,synthetic
78098348643.61542,7523953.816663013,16,16,4,0.9200199600512022,378.0322552176597,85.81448812028124,121.95510461667698,826367036840.7977,synthetic
52323304211.0715,39759433.610266544,32,8,2,1.2586909539840967,22.215659220467003,46.59475205995541,150.8733302435009,4710488551504.851,synthetic
38266447404.10838,102014848.72298057,24,16,1,1.1009122263357867,17.611061437306937,48.26265887893273,258.796346473856,2172864340990.0024,synthetic
8478665944.33473,24491756.642719325,24,16,4,1.1766998596561151,17.820091142083587,10.11011136096277,245.93895110392026,1903170051540.6848,synthetic
60058676917.4919,141297637.9878808,4,32,16,1.2470978333777063,25971.48947775073,68.2007558169436,641.1478617627959,36999758196.505745,synthetic
24280350750.51933,2420985.9522581,16,16,2,1.6216233185166327,32.76083448633578,27.250805332886856,143.99029677902502,1482279137953.3645,synthetic
49189017952.932915,112276344.02946997,32,32,16,1.1283083566645644,401.64957786779286,48.85289020285079,558.8657021318274,1959479931299.676,synthetic
9247490821.38171,32277665.92177615,24,16,2,2.309660208211204,4.9138149805178495,15.632187998570583,206.69112403269457,3763874243554.5063,synthetic
45426826569.090614,6102572.23134186,8,16,2,2.0252973630028084,289.3123438094106,39.089765402994246,125.2507937278947,314033103260.9953,synthetic
75305210826.10724,31289513.34499199,32,32,4,1.7657088043985993,91.51698442711563,81.58831272206773,260.3080507094396,3291420113873.2017,synthetic
59371646783.74022,44282762.29252075,12,32,2,1.366524651171534,335.56881337154584,54.1612991465446,360.7184867656985,353856761522.13354,synthetic
52918456046.113075,105974931.0604925,8,8,1,2.243989522193954,84.66310556604162,64.31089529809412,153.05378656494014,625047424049.8292,synthetic
49543581974.00829,66419096.849864095,12,8,2,1.46452137451093,118.96461681066201,52.16602094547824,148.1493511902509,832912899687.8008,synthetic
58882455224.65183,10685577.242236864,4,32,8,0.8558791463950236,17853.1246003719,52.09472883290257,92.32658042077051,26385277218.498882,synthetic
72328654322.6594,42014852.64424313,12,16,16,1.900744573413153,1036.0213313164552,87.87254227635522,196.1588464720408,1117021854841.5803,synthetic
36652347148.618835,70706323.66023329,4,32,8,2.1877596551175147,4267.950458547633,36.04892416141477,445.16123428205896,68702479102.517944,synthetic
77688406367.84735,148423291.8719425,24,8,8,2.469724621155574,97.38471153758341,94.5750274112411,242.01383147282425,6381979687878.648,synthetic
77258719594.08829,53326284.53771281,16,8,16,1.1761129718005383,1002.7558598182336,75.18210780845318,216.97701979295596,1232742248676.0474,synthetic
41886674790.07591,64245577.28363402,16,32,1,1.6841167418608154,50.409486877622754,48.97062687496787,444.18862309149864,830928410197.125,synthetic
56252703794.81944,11573656.466363786,16,32,1,2.019825547356517,50.90322026844219,50.78060715915227,158.4222639449396,1105091259416.719,synthetic
59331883302.608665,147368271.81879094,12,16,16,1.898351453882703,1208.5587840312874,59.10623268365282,476.91584690993216,785489415479.8206,synthetic
73402871566.14536,85734207.60111733,32,8,8,2.2465163623739635,66.32686468715808,92.93011432647913,149.50808759966506,8853470992468.885,synthetic
2544296756.0687356,107492426.74993743,24,8,4,2.16653967783907,1.4980726952296946,7.763067881614544,289.00774635916997,6793520138696.946,synthetic
65824580592.442024,25148226.47147881,24,8,8,1.7814816248494716,134.87256743548818,73.14161276353984,164.07023454314873,3904401426861.0723,synthetic
52219658482.6214,21371137.15778101,24,16,8,1.0822304341444935,190.59341364253527,62.582300513534825,188.37713062501993,2191876727936.0967,synthetic
50575052803.076,138834261.35612208,16,8,16,1.777056777532839,491.0443245434476,48.12080883717447,275.9739259301911,1647918129593.6511,synthetic
72851543429.15373,40856345.23194102,12,16,8,1.7316643230325295,733.8885174977222,62.58609691881098,272.9548141389203,794142888923.2332,synthetic
44887959705.776474,120135450.8886215,8,8,2,1.7415280958827604,249.20534375201396,48.937927031668345,269.0877903313607,360248773400.6604,synthetic
53022662429.893196,4756521.973303419,32,8,16,0.9411187679256845,218.07273340788834,55.732416734609146,137.4889475829226,3890273605602.4663,synthetic
14822134176.6493,87799151.24666747,4,32,16,0.933948230658767,8857.721630380312,15.52930075173584,476.32767940494125,26773718651.644554,synthetic
69660831187.30396,85658600.62633942,8,8,1,1.2619878984608104,193.0407757752703,80.937812932474,206.90214741864872,360860708871.1665,synthetic
33548165024.732708,90389659.38714212,12,8,8,1.8830845708074129,293.2376313819804,38.32917637864375,154.62140817842837,915248561151.6029,synthetic
11185119924.578318,88415523.18092328,24,8,2,1.3154206062234697,8.798565880639947,12.234785228314554,235.27183290850328,2542487054439.1016,synthetic
48550740168.265816,52980141.37492747,4,32,2,2.066833263675673,1629.149317988367,40.08384652373953,295.7130774813892,59602566360.47954,synthetic
61150704247.11609,110917755.07498576,16,16,4,2.0155246481465827,131.47693918830362,76.18227616050575,338.09381547745033,1860423725244.6213,synthetic
32307806740.45129,33007838.259237833,32,16,4,0.9870367493718801,31.57695727927412,30.741545842499747,245.13722237690598,4092580099433.0596,synthetic
24024684972.35476,101835992.87932502,16,16,16,1.6629597836442997,311.01867351953496,22.876899518513095,343.9466243958601,1235922445452.5637,synthetic
79805255821.18686,138271375.24454662,4,8,1,2.3908171965785323,529.1579168171743,83.11653880725525,285.5426658829183,150815575624.77106,synthetic
79066108781.88612,129742570.28198549,4,8,8,2.391456968145042,5229.1474122164545,78.56787775411442,285.60844234266847,120962141701.60138,synthetic
56874392180.22549,135517472.47877237,24,32,8,1.591412298019807,258.37310519978337,55.59076512397197,576.5442966029638,1761000383882.778,synthetic
18024059165.29545,56758391.72342927,8,8,8,2.4463702599472814,179.66350988972604,18.88737990334462,218.61438120634364,802569611441.222,synthetic
25816916747.042366,85139519.96201421,8,8,4,2.0254852691963716,230.00433649268606,27.297349990630202,204.76717994660657,448981391233.2618,synthetic
53079549115.00912,80579784.66307303,8,8,1,1.7056274628181536,87.17976793201272,60.61564898094411,217.28420304146962,608851690869.4147,synthetic
52736075047.23555,77660984.26467311,16,8,4,1.8383567313939684,166.80077167297307,53.72845216126287,273.65923426064325,1264648227182.7627,synthetic
55183544385.728,98279017.31195267,12,32,1,1.1787741372624894,139.94257478526043,60.0966392088071,545.9515295485115,394329920472.0668,synthetic
36597316401.44478,136537549.09540293,16,8,16,2.166171594750784,250.1335991082551,47.15980628916142,182.35945727537137,2340977239805.7314,synthetic
61337961809.83157,101547297.21384768,16,16,16,1.590713233256928,822.5235986030029,71.42131916336947,329.63968620062656,1193166239393.1978,synthetic
52783694962.329605,34277598.22018388,12,16,1,1.7400729177328262,82.47943419499155,58.19142533070507,251.67604020474536,639961894471.0804,synthetic
25222364303.78357,135702721.25410092,24,16,8,0.9756917592749714,88.59221119730256,32.28202293459957,383.8055495578734,2277614608590.0186,synthetic
30617524961.060493,1534385.1219356207,16,16,2,1.858561548210958,38.90575765749373,31.899967600589747,80.15678975922563,1573932847194.5684,synthetic
30410768695.82571,132399900.03650907,24,16,1,1.6238355921978813,14.83727810265395,31.65949749737317,451.7570206742747,2049619107050.782,synthetic
23951452658.19778,74419267.94462284,24,8,1,1.166997713128366,9.283324250956287,31.456418491438356,218.6872833115206,2580051284509.4805,synthetic
65961780993.46715,101158009.68332502,12,32,16,1.903763588074204,1735.9428169144924,59.64300902837681,509.9869726413946,607962707994.8105,synthetic
8614942666.07694,134150369.89261729,12,32,16,2.05825047366643,218.81889532910677,10.663509064424616,579.1202953076288,629923126382.2948,synthetic
15536293533.4372,85751889.95872062,24,32,16,2.3258312577118088,90.12912046759125,23.039228408554635,487.59192457131434,2758050841341.342,synthetic
12720230924.932981,85406941.74244668,4,8,1,1.041831333310252,201.514032404061,14.767683401542117,280.84595308044914,63123301008.772026,synthetic
8998416542.36685,110989858.03128569,32,32,16,1.4018169082131435,47.506236323438905,11.731601249656675,475.7201703319844,3030647675341.827,synthetic
44130901879.892426,4907976.532304371,12,32,4,1.814920152116178,323.6167941812002,37.87935946499092,102.71435631632508,545471096350.85944,synthetic
1035214794.4971355,104484037.63299444,8,32,2,1.8915530631057462,8.678645808263067,2.3914561089074975,557.6469105938444,238565973855.38934,synthetic
12954640660.250412,70484050.8099525,16,16,16,2.156293609215678,148.07548798063465,14.466587764484647,185.25132627789242,1399787725778.854,synthetic
18742130286.614414,9970732.816645572,8,16,4,1.8271133255669412,217.57272549824742,16.951418107763217,70.68706479092053,344567642726.25494,synthetic
40739239968.94055,70937719.36164914,12,32,8,2.157108828929817,578.555638676739,50.90971043735668,372.87709781711146,563323383204.679,synthetic
25749543810.19528,93960710.28796251,4,32,4,1.79352980886207,1971.9032083260945,23.592867429495268,424.7247394315467,52232875734.40991,synthetic
51784887335.78087,80309755.33634657,12,8,8,1.6413617102168319,428.25663683686156,52.63027884462637,160.32967072183922,967361771077.6094,synthetic
744172210.4250005,72760120.1255259,12,32,16,1.9061491476582113,20.46617690566745,3.039486967843229,469.66723983681544,581777213286.1226,synthetic
24155228668.26728,28118056.699124407,32,16,4,2.2603582427563893,13.887517896409088,35.688937969764225,231.01688295744802,6957392630835.241,synthetic
48343104263.92139,139936352.41401762,8,8,2,2.1959765129829285,169.58476873392618,57.488784104866966,236.3227040409246,570134978805.4419,synthetic
21621689391.6081,122231886.44076799,4,32,4,0.8187039720743724,3294.165196818159,23.001325404704925,531.3027402967571,26254529569.424793,synthetic
78603648027.3658,145389097.6760233,32,8,1,2.3424452863094873,10.402276132275656,72.4139004746427,236.23128784513193,7556389296711.551,synthetic
51729572996.581215,112071027.12995881,8,16,16,1.8790090469887044,2058.0104938232676,58.12356436062121,341.3479161870766,402171500305.46747,synthetic
6741349701.840635,73189535.47732289,32,16,4,1.5075319135432923,6.220064046814103,12.433867945379223,228.97311799710414,4335228480673.6245,synthetic
64576873320.67916,75231524.73416515,4,16,8,1.975538441866458,6117.322153956112,70.29316455255187,194.9464922860145,84451165651.18858,synthetic
13919598478.40675,36926314.505498946,12,32,16,2.295358330684001,280.78834950199547,15.834721305029426,315.1775117699267,793172423462.4102,synthetic
67870243664.54108,37658620.795405895,12,32,2,1.4411358950332984,321.0537455526689,78.93461614108979,260.84356214042066,422796772220.84894,synthetic
11051022721.470991,89299302.06336455,12,32,2,1.6678603021254133,44.60281561981698,11.590203445620956,534.5242957141318,495530273948.0435,synthetic
4222389978.4421353,2253531.9500217973,4,16,4,1.9581115659478432,135.39313685131341,4.224883578469813,70.04037497801565,124744579426.62476,synthetic
45818140838.77428,79150145.95675795,32,8,2,1.9188471344356093,11.237664874130907,57.7718476779859,206.34630816153253,8154388185084.18,synthetic
12898226555.697495,48049142.6768336,8,16,1,1.9147510707370812,43.4823035895872,16.26539729873638,269.1372708213708,296631629212.6312,synthetic
14215217282.760645,121253275.03645477,24,16,4,1.2585976615962335,32.97932569219917,15.95804025732484,338.4264875546041,1724136801999.3289,synthetic
20306011787.18304,82980323.27661704,16,16,4,0.8294618874718217,153.67759423997023,23.538633915906253,240.56389095261383,528535389628.10284,synthetic
45624756764.15759,44359531.634659946,24,32,2,2.196953505475845,37.91661734806544,43.99719795449406,271.3922049848116,2406583706839.3145,synthetic
4595037267.039204,114098180.18383649,24,16,16,2.145955992778786,15.3626148378878,9.420086026048622,390.8935315184237,4785682453699.762,synthetic
75701301729.6351,59057378.3458731,4,8,4,1.02500960361522,5484.6995212424235,66.94071282243513,115.88617317564066,55209078591.40975,synthetic
52190146698.90939,2051070.5754514073,4,16,8,2.0032319769300946,4942.225737449831,45.61177431085523,140.33942313385802,84480393201.69022,synthetic
39626548968.35327,90293401.63839684,16,8,2,1.0894498366196224,56.8962869047624,40.67536097297269,226.7164134712317,1392939719763.5547,synthetic
10933772248.125391,141048936.83514747,16,8,4,1.0791711809941666,39.866457667331005,12.400654887342103,229.06769025155023,1097039756013.7567,synthetic
46817686232.41111,112943953.27547313,16,8,1,2.470223972247978,19.250823364835323,50.82380670792515,262.7784986575009,2431983575202.8677,synthetic
23998876331.546154,71961169.1942922,16,8,2,0.9502544451099263,44.787887866870065,20.861454377024536,219.0483359407267,1071668143980.4309,synthetic
21220550528.8388,36234818.25128304,32,16,16,1.7693765879207657,51.50102642231865,30.69007415425773,185.0553590583259,6592661002078.232,synthetic
12240721405.093573,85188175.20560163,24,8,16,1.3988653521773566,61.6917587576677,17.52464224538703,229.76894231536733,3174679186093.956,synthetic
78821805231.19148,51774672.641444825,4,8,16,1.2157277471052004,13387.049607251989,86.99168513234825,135.10447427202595,94206634075.3588,synthetic
66293973254.65196,97067034.1768055,4,8,2,1.818368487738242,748.5399949399572,72.17871324777238,229.65799494210523,177128740488.92905,synthetic
64379829442.83336,133986012.21940157,32,32,8,1.0143233874250908,300.8415994082281,54.93942344008914,589.7025281730932,1711992744872.3052,synthetic
12248376605.202757,40974689.455697164,32,8,16,1.5754955942174709,25.71533731919612,15.150597590475662,165.76213348011578,7620900447491.016,synthetic
19546317754.712044,94400205.9238234,24,16,4,2.1678647096367705,24.365485665886897,22.995576665651434,336.5678186280011,3208853379364.899,synthetic
35556987944.29865,143353683.4072616,4,8,16,2.4199290582948336,3384.5484938582226,40.32444376647185,293.58522096274675,168090901383.49484,synthetic
56748027855.6911,109518065.05669948,32,16,16,0.9744553012994547,254.63476619004547,63.00630734118026,267.1040994009273,3565767782916.9624,synthetic
162876329.64026088,29308822.62899789,32,16,4,0.9570221270873009,0.16628341716150255,3.2046935029360992,236.58744504470636,3918041436015.654,synthetic
